RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803226,-1.455458436867648,36.948288095731655,798878.3085000641,263982.63924502686,38000.0,-57.984299577004286,-218.4360369851192,194.86642679976515,226.00106471253656,0.0,192.82609993891143,1000.0,228612.90625,1547541330,descending
4803245,-0.7070255094937522,37.36651801601556,863978.0242815127,312322.1801090073,36000.0,-31.699846879338477,-225.0388175945962,188.01815128581325,227.2605326856105,0.0,182.11446954153146,3844.579577192115,320854.625,1547541330,unknown
4803270,-1.0223561234925598,38.586262735561554,832016.6194885067,446687.11669725005,45000.0,227.42410117869824,105.92358268021317,65.02608315115106,250.88150024414062,0.0,9.208280296864643,7271.701654769975,156909.703125,1547541330,cruising
4803280,0.9480619204979348,39.4221434250622,998584.0747589674,546284.420259631,34000.0,218.40287102408254,-24.0956144221553,96.29577868252233,219.72804260253906,0.0,6.516878545725433,0.0,73257.9453125,1547541330,cruising
4803286,-0.718552554656883,38.230285253072175,859765.9268388253,408062.1618956714,38000.0,-38.747593412253394,-232.20550413232223,189.47352769919493,235.4161679761762,0.0,180.01654941411786,5825.765763561951,226491.078125,1547541330,descending
4803309,-0.6231125404738592,40.894907940031516,857952.7576174533,703693.7632239987,33000.0,-209.02302106823552,-62.69915189766125,253.30270586171002,218.22421264648438,0.0,-15.519689402569043,1635.4368488194668,6493.830078125,1547541330,cruising
4803311,-0.41241454234760866,38.82002669385841,884132.7643982441,474364.38464506576,39000.0,-34.40318758338643,-233.56092712680535,188.37933062243562,236.0811004638672,0.0,183.70455029344018,6844.579577192115,157635.0625,1547541330,descending
4803322,-0.3135768872633526,39.01105321064596,891900.5340089332,495853.9446956751,37000.0,-30.70109404881587,-233.24279667257633,187.49857471407967,235.25466918945312,0.0,185.35366086547165,4844.579577192115,135716.203125,1547541330,descending
4803335,0.20696845877601797,41.3458149248491,925592.0042712968,756399.250121559,36000.0,227.24029485332213,42.11098650819629,79.5013438059467,231.1092529296875,0.0,-8.536829903977946,0.0,24346.904296875,1547541330,cruising
4803344,-0.14998578915522656,41.35085199105327,895746.9528664671,755713.5687625506,37100.0,228.77099624967946,6.625335362364393,88.34114600447276,228.86691284179688,16.666666666666668,-0.052677745315804714,1100.0,54198.98046875,1547541330,cruising
4803354,0.9321943372868052,39.54960862433776,996488.729139694,560330.0121462231,39000.0,-220.90201888551462,-46.33709196791753,258.1532216424437,225.70960998535156,0.0,-16.876801899298925,5509.312466923919,174380.953125,1547541330,cruising
4803374,-0.25109498517794615,39.65519327088767,894549.3290104718,567440.4547189762,33000.0,-162.2204224404672,-165.018716248058,224.51006313651828,231.40147399902344,0.0,-4.902738464594734,6000.0,115261.8046875,1547541330,cruising
4803375,-0.07406292159764911,40.089917712886994,907759.3877194896,616211.7432330027,41000.0,-31.04114424781428,-225.77328202824825,187.82840850406362,227.89718627929688,0.0,-136.94074147049903,8844.579577192115,18685.931640625,1547541330,descending
4803393,0.17777368884979647,40.09233987524634,929181.2573337308,617379.9067773593,35400.0,-164.51196258579523,-169.2849217366131,224.18078390712705,236.05416870117188,23.333333333333332,-0.1779476822827064,1600.0,174732.0625,1547541330,climbing
4803397,0.09730014944231818,40.53701111454848,920239.0592240966,666359.7414637501,37000.0,-26.436799770421672,-233.09018610803446,186.4707645434493,234.58460998535156,0.0,-27.222269047017562,4844.579577192115,41927.62109375,1547541330,cruising
4803429,0.1510535761259569,41.05494754991405,922310.2197183378,723954.7669778399,37000.0,-32.57808835978733,-234.39652063645863,187.91268218875555,236.649658203125,0.0,-7.404977783332129,4844.579577192115,95885.9609375,1547541330,cruising
4803431,0.9711531999999994,38.761765999999774,1004393.7528649296,473253.0476624112,24880.0,211.5317402569422,97.29387444965154,65.2999677036247,232.83421325683594,13.333333333333334,-0.21126202688446938,7172.397846728818,74796.5625,1547541330,cruising
4803446,0.28970015282684874,41.637218510900595,931060.8394242246,789009.1335120641,39000.0,-33.72254571420799,-236.73398368897648,188.10719015934566,239.12379455566406,0.0,-4.100027475066412,6844.579577192115,161178.4375,1547541330,cruising
4803459,0.357138257865069,41.90044916801806,935344.5426272114,818447.4884832967,37000.0,-31.828649986324553,-226.69677622609484,187.99219165164118,228.92027282714844,0.0,-3.603286057123256,4844.579577192115,190867.828125,1547541330,cruising
4803463,0.37802211454569234,41.972301974008396,936710.9611441158,826493.8618952701,41000.0,-31.029939817881573,-226.19155316348662,187.81132558174215,228.31004333496094,0.0,-13.407536367893641,0.0,358336.8125,1547541330,cruising
4803477,0.4677394533757181,42.226425428120784,942820.498917933,855018.087256085,37000.0,-19.476927665118886,-232.4721268253985,184.78915741737154,233.28660583496094,0.0,-6.799457681493493,4844.579577192115,228194.75,1547541330,cruising
4803288,-0.7288186786521414,38.366608718223695,858366.2860183605,423144.5825682591,36000.0,-42.42933250941189,-229.14547861883958,190.49026453584563,233.04055146830413,0.0,-42.81731881797256,1000.0,88700.4921875,1547541330,cruising
